threshold,precision,recall,f1
0.01,0.2654364797728886,1.0,0.4195176668536175
0.02,0.27601476014760146,1.0,0.43262001156738
0.03,0.2898212898212898,0.9973262032085561,0.44912703190848885
0.04,0.2983159582999198,0.9946524064171123,0.458975940777298
0.05,0.3074380165289256,0.9946524064171123,0.4696969696969697
0.060000000000000005,0.3157894736842105,0.9946524064171123,0.4793814432989691
0.06999999999999999,0.3223570190641248,0.9946524064171123,0.4869109947643979
0.08,0.32891246684350134,0.9946524064171123,0.4943521594684385
0.09,0.33514001806684734,0.9919786096256684,0.5010128291694801
0.09999999999999999,0.3419354838709677,0.9919786096256684,0.5085675119945168
0.11,0.3464788732394366,0.9866310160427807,0.512856150104239
0.12,0.3548076923076923,0.9866310160427807,0.521923620933522
0.13,0.36113837095191365,0.983957219251337,0.5283560660445082
0.14,0.367,0.9812834224598931,0.5342066957787481
0.15000000000000002,0.3727087576374745,0.9786096256684492,0.5398230088495575
0.16,0.3772020725388601,0.9732620320855615,0.5436893203883495
0.17,0.38065194532071506,0.9679144385026738,0.5464150943396227
0.18000000000000002,0.3840425531914894,0.9652406417112299,0.5494672754946728
0.19,0.3883495145631068,0.9625668449197861,0.5534204458109147
0.2,0.39087947882736157,0.9625668449197861,0.555984555984556
0.21000000000000002,0.39403973509933776,0.9545454545454546,0.5578125
0.22,0.40135287485907556,0.9518716577540107,0.5646312450436162
0.23,0.4043528064146621,0.9438502673796791,0.566158781074579
0.24000000000000002,0.411901983663944,0.9438502673796791,0.5735174654752234
0.25,0.41706161137440756,0.9411764705882353,0.5779967159277504
0.26,0.4215568862275449,0.9411764705882353,0.5822994210090985
0.27,0.423728813559322,0.9358288770053476,0.5833333333333334
0.28,0.42769607843137253,0.9331550802139037,0.5865546218487395
0.29000000000000004,0.42874845105328374,0.9251336898395722,0.5859441151566469
0.3,0.4339622641509434,0.9224598930481284,0.5902480752780154
0.31,0.438058748403576,0.9171122994652406,0.5929127052722558
0.32,0.44129032258064516,0.9144385026737968,0.5953002610966057
0.33,0.44502617801047123,0.9090909090909091,0.5975395430579965
0.34,0.44754316069057104,0.9010695187165776,0.5980479148181012
0.35000000000000003,0.4527027027027027,0.8957219251336899,0.6014362657091562
0.36000000000000004,0.4547945205479452,0.8877005347593583,0.6014492753623188
0.37,0.4563106796116505,0.8796791443850267,0.6009132420091324
0.38,0.461212976022567,0.8743315508021391,0.6038781163434903
0.39,0.46285714285714286,0.8663101604278075,0.6033519553072626
0.4,0.46938775510204084,0.8609625668449198,0.6075471698113207
0.41000000000000003,0.4749262536873156,0.8609625668449198,0.6121673003802282
0.42000000000000004,0.47477744807121663,0.8556149732620321,0.6106870229007634
0.43,0.4766214177978884,0.8449197860962567,0.609450337512054
0.44,0.48228043143297383,0.8368983957219251,0.6119257086999023
0.45,0.4867807153965785,0.8368983957219251,0.615535889872173
0.46,0.4881516587677725,0.8262032085561497,0.6137040714995035
0.47000000000000003,0.49356913183279744,0.820855614973262,0.6164658634538153
0.48000000000000004,0.4991735537190083,0.8074866310160428,0.616956077630235
0.49,0.4991624790619765,0.7967914438502673,0.6138002059732235
0.5,0.5033783783783784,0.7967914438502673,0.6169772256728778
0.51,0.5085616438356164,0.7941176470588235,0.6200417536534447
0.52,0.5130890052356021,0.786096256684492,0.6209081309398099
0.53,0.518783542039356,0.7754010695187166,0.6216505894962486
0.54,0.5246800731261426,0.767379679144385,0.6232356134636265
