Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier Score
Logistic Regression,0.7374024130589071,0.5033783783783784,0.7967914438502673,0.6169772256728778,0.8469219044666616,0.6633273948171234,0.1651701671664447
XGBoost,0.7437899219304471,0.5110356536502547,0.8048128342245989,0.6251298026998962,0.843736598723811,0.6558892036834904,0.16345395147800446
Random Forest,0.7629524485450674,0.5363636363636364,0.7887700534759359,0.6385281385281385,0.8409245911803458,0.6492343907185677,0.15894809517409655
LightGBM,0.758694109297374,0.5324427480916031,0.7459893048128342,0.621380846325167,0.8350848639851198,0.6508374950367053,0.16010470369233773
